"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"5208","-0.1314341425895691","-0.1314341425895691","-0.1314341425895691"
"5225","-0.14706790447235107","-0.14706790447235107","-0.14706790447235107"
"5242","-0.13548757135868073","-0.13548757135868073","-0.13548757135868073"
"5260","-0.1456681340932846","-0.1456681340932846","-0.1456681340932846"
"5278","-0.14841115474700928","-0.14841115474700928","-0.14841115474700928"
"5295","-0.13486090302467346","-0.13486090302467346","-0.13486090302467346"
"5313","-0.12859974801540375","-0.12859974801540375","-0.12859974801540375"
"5332","-0.12370876222848892","-0.12370876222848892","-0.12370876222848892"
"5352","-0.11060830950737","-0.11060830950737","-0.11060830950737"
"5372","-0.10683699697256088","-0.10683699697256088","-0.10683699697256088"
"5391","-0.10784639418125153","-0.10784639418125153","-0.10784639418125153"
"5410","-0.09904976934194565","-0.09904976934194565","-0.09904976934194565"
"5430","-0.0905378982424736","-0.0905378982424736","-0.0905378982424736"
"5451","-0.0805099830031395","-0.0805099830031395","-0.0805099830031395"
"5473","-0.0748792365193367","-0.0748792365193367","-0.0748792365193367"
"5495","-0.06317821145057678","-0.06317821145057678","-0.06317821145057678"
"5518","-0.052784513682127","-0.052784513682127","-0.052784513682127"
"5541","-0.03738728165626526","-0.03738728165626526","-0.03738728165626526"
"5565","-0.032457977533340454","-0.032457977533340454","-0.032457977533340454"
"5589","-0.030553581193089485","-0.030553581193089485","-0.030553581193089485"
"5612","-0.03819167986512184","-0.03819167986512184","-0.03819167986512184"
"5635","-0.03979388624429703","-0.03979388624429703","-0.03979388624429703"
"5658","-0.03707674890756607","-0.03707674890756607","-0.03707674890756607"
"5682","-0.032264381647109985","-0.032264381647109985","-0.032264381647109985"
"5706","-0.03368543088436127","-0.03368543088436127","-0.03368543088436127"
"5729","-0.035042062401771545","-0.035042062401771545","-0.035042062401771545"
"5753","-0.03172963857650757","-0.03172963857650757","-0.03172963857650757"
"5776","-0.0429665632545948","-0.0429665632545948","-0.0429665632545948"
"5799","-0.052665598690509796","-0.052665598690509796","-0.052665598690509796"
"5821","-0.058533232659101486","-0.058533232659101486","-0.058533232659101486"
"5842","-0.07386172562837601","-0.07386172562837601","-0.07386172562837601"
"5864","-0.06674765050411224","-0.06674765050411224","-0.06674765050411224"
"5886","-0.05645199120044708","-0.05645199120044708","-0.05645199120044708"
"5909","-0.04284291714429855","-0.04284291714429855","-0.04284291714429855"
"5932","-0.038938626646995544","-0.038938626646995544","-0.038938626646995544"
"5955","-0.033632613718509674","-0.033632613718509674","-0.033632613718509674"
"5979","-0.02819795534014702","-0.02819795534014702","-0.02819795534014702"
"6002","-0.044174522161483765","-0.044174522161483765","-0.044174522161483765"
"6024","-0.04784886911511421","-0.04784886911511421","-0.04784886911511421"
"6046","-0.05826135352253914","-0.05826135352253914","-0.05826135352253914"
"6068","-0.050504252314567566","-0.050504252314567566","-0.050504252314567566"
"6090","-0.05387315899133682","-0.05387315899133682","-0.05387315899133682"
"6113","-0.04752016067504883","-0.04752016067504883","-0.04752016067504883"
"6136","-0.039223432540893555","-0.039223432540893555","-0.039223432540893555"
"6158","-0.04953679069876671","-0.04953679069876671","-0.04953679069876671"
"6180","-0.050297871232032776","-0.050297871232032776","-0.050297871232032776"
"6203","-0.05311879515647888","-0.05311879515647888","-0.05311879515647888"
"6225","-0.055010147392749786","-0.055010147392749786","-0.055010147392749786"
"6247","-0.061663199216127396","-0.061663199216127396","-0.061663199216127396"
"6270","-0.05298636481165886","-0.05298636481165886","-0.05298636481165886"
"6292","-0.06685908883810043","-0.06685908883810043","-0.06685908883810043"
